text,canonical_form_1,canonical_form_2,canonical_form_3,category_1,category_2,category_3,severity_rating,severity_description
mothercker,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
motherf@kka,motherfucker,,,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe
motherfacking,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.4,Strong
motherfcked,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe
motherfckin,motherfucker,,,sexual anatomy / sexual acts,,,3,Severe
motherfcking,motherfucker,,,sexual anatomy / sexual acts,,,3,Severe
motherfcks,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe
motherfckshit,motherfucker,shit,,sexual anatomy / sexual acts,other / general insult,bodily fluids / excrement,2.8,Severe
motherfecka,motherfucker,,,sexual anatomy / sexual acts,,,2.4,Strong
motherfecker,motherfucker,,,sexual anatomy / sexual acts,,,2.8,Severe
motherfk,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe
motherfucca,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.6,Severe
motherfuccas,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,3,Severe
motherfuccers,motherfucker,,,sexual anatomy / sexual acts,,,3,Severe
motherfuck,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.4,Strong
motherfucked,motherfucker,,,sexual anatomy / sexual acts,,,3,Severe
motherfuckeds,motherfucker,,,sexual anatomy / sexual acts,,,3,Severe
motherfucker,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,3,Severe
motherfuckers,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe
motherfuckin,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.6,Severe
motherfucking,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe
motherfuckings,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe
motherfuckingshit,motherfucker,shit,,sexual anatomy / sexual acts,bodily fluids / excrement,other / general insult,2.8,Severe
motherfuckins,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe
motherfuckka,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,3,Severe
motherfuckkas,motherfucker,,,sexual anatomy / sexual acts,,,3,Severe
motherfuckkers,motherfucker,,,sexual anatomy / sexual acts,,,3,Severe
motherfucks,motherfucker,,,sexual anatomy / sexual acts,sexual orientation / gender,,3,Severe
motherfukka,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,3,Severe
motherfukker,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,3,Severe
motherfukkings,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.6,Severe
motherfvck,motherfucker,,,sexual anatomy / sexual acts,,,2.6,Severe
motherfvcked,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.6,Severe
motherfvckeds,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
motherfvcker,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,3,Severe
motherfvckers,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe
motherfvcking,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe
motherfxck,motherfucker,,,other / general insult,,,2.4,Strong
motherfxcking,motherfucker,,,sexual anatomy / sexual acts,,,2.6,Severe
mothfck,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.6,Severe
mothter fuck,motherfucker,,,sexual anatomy / sexual acts,,,3,Severe
mtherfuker,motherfucker,,,sexual anatomy / sexual acts,,,3,Severe
mthrfcker,motherfucker,,,sexual anatomy / sexual acts,,,2.6,Severe
muddafukkas,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,3,Severe
mudderfuk,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
mudderfukker,motherfucker,,,sexual anatomy / sexual acts,,,2.6,Severe
mufdive,muff,,,sexual anatomy / sexual acts,,,1.8,Strong
mufdivin,muff,,,sexual anatomy / sexual acts,,,2.8,Severe
muff,muff,,,sexual anatomy / sexual acts,,,1.4,Mild
muffdiving,muff,,,sexual anatomy / sexual acts,,,2,Strong
muffdivings,muff,,,sexual anatomy / sexual acts,,,2.2,Strong
muffindivin,muff,,,sexual anatomy / sexual acts,,,1.8,Strong
muffindiving,muff,,,sexual anatomy / sexual acts,,,1.8,Strong
muhfucking,motherfucker,,,sexual anatomy / sexual acts,,,2.4,Strong
mushroom tip,mushroom tip,,,sexual anatomy / sexual acts,,,1.4,Mild
mutha fucka,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe
mutha fucker,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.4,Strong
muthafecker,motherfucker,,,sexual anatomy / sexual acts,,,2.8,Severe
muthafeckers,motherfucker,,,sexual anatomy / sexual acts,,,3,Severe
muthafucka,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe
muthafuckers,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,3,Severe
muthafuckings,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,3,Severe
muthafuckker,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,3,Severe
muthafuckkers,motherfucker,,,sexual anatomy / sexual acts,,,2.8,Severe
muthafukka,motherfucker,,,sexual anatomy / sexual acts,,,3,Severe
mutherfucker,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.6,Severe
mutherfuckers,motherfucker,,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe
n0bhead,knob,,,sexual anatomy / sexual acts,,,1.6,Strong
n0bj0cky,knob,,,sexual anatomy / sexual acts,sexual orientation / gender,,2.4,Strong
n1ckker,nigger,,,racial / ethnic slurs,,,2.8,Severe
n1g3r,nigger,,,racial / ethnic slurs,,,3,Severe
n1g3rz,nigger,,,racial / ethnic slurs,,,3,Severe
n1gg@,nigger,,,racial / ethnic slurs,,,3,Severe
n1gg@hs,niggger,,,racial / ethnic slurs,,,2.8,Severe
n1gg3r,nigger,,,racial / ethnic slurs,,,3,Severe
n1gg3rs,nigger,,,racial / ethnic slurs,,,3,Severe
n1gga,nigger,,,racial / ethnic slurs,,,2.4,Strong
n1ggah,nigger,,,racial / ethnic slurs,,,2.8,Severe
n1ggahs,niggers,,,racial / ethnic slurs,,,3,Severe
n1ggas,nigger,,,racial / ethnic slurs,,,3,Severe
n1ggazes,nigger,,,racial / ethnic slurs,,,3,Severe
n1gger,nigger,,,racial / ethnic slurs,,,3,Severe
n1ggers,nigger,,,racial / ethnic slurs,,,3,Severe
n1gguh,nigger,,,racial / ethnic slurs,,,2.8,Severe
n3gro,negro,,,racial / ethnic slurs,,,2.4,Strong
negga,nigger,,,racial / ethnic slurs,,,2.8,Severe
neggar,nigger,,,racial / ethnic slurs,,,2.8,Severe
negr0,negro,,,racial / ethnic slurs,,,2.8,Severe
negro,negro,,,racial / ethnic slurs,,,2,Strong
negroes,negro,,,racial / ethnic slurs,,,2.6,Severe
negroid,negro,,,racial / ethnic slurs,,,2.6,Severe
niccer,nigger,,,racial / ethnic slurs,,,2.6,Severe
nicka,nigger,,,racial / ethnic slurs,,,2.6,Severe
nickas,nigger,,,racial / ethnic slurs,,,2.8,Severe
nicker,nigger,,,racial / ethnic slurs,,,3,Severe
nickk3r,nigger,,,racial / ethnic slurs,,,3,Severe
nickker,nigger,,,racial / ethnic slurs,,,3,Severe
nig,nigger,,,racial / ethnic slurs,,,3,Severe
nig-nog,nigger,,,racial / ethnic slurs,,,2.8,Severe
niga,nigger,,,racial / ethnic slurs,,,2.6,Severe
nigah,nigger,,,racial / ethnic slurs,,,2.8,Severe
nigasses,nigger,ass,,racial / ethnic slurs,,,3,Severe
nigers,nigger,,,racial / ethnic slurs,,,3,Severe
nigg@,nigger,,,racial / ethnic slurs,,,2.8,Severe
nigg@hs,nigger,,,racial / ethnic slurs,,,2.8,Severe
nigg@s,nigger,,,racial / ethnic slurs,,,2.8,Severe
nigg@z,nigger,,,racial / ethnic slurs,,,2.6,Severe
nigg@zzes,nigger,,,racial / ethnic slurs,,,2.8,Severe
nigg3r,nigger,,,racial / ethnic slurs,,,3,Severe
nigg3rs,nigger,,,racial / ethnic slurs,,,3,Severe
nigg4h,nigger,,,racial / ethnic slurs,,,3,Severe
nigg4hs,nigger,,,racial / ethnic slurs,,,2.8,Severe
nigga,nigger,,,racial / ethnic slurs,,,2.8,Severe
nigga lover,nigger,,,racial / ethnic slurs,,,3,Severe
niggah,nigger,,,racial / ethnic slurs,,,2.8,Severe
niggahs,nigger,,,racial / ethnic slurs,,,2.2,Strong
niggahz,nigger,,,racial / ethnic slurs,,,3,Severe
niggas,nigger,,,racial / ethnic slurs,,,2.8,Severe
niggass,nigger,ass,,racial / ethnic slurs,,,2.6,Severe
niggaz,nigger,,,racial / ethnic slurs,,,2.2,Strong
niggazzes,nigger,,,racial / ethnic slurs,,,2.8,Severe
nigger,nigger,,,racial / ethnic slurs,,,3,Severe
nigger lover,nigger,,,racial / ethnic slurs,sexual anatomy / sexual acts,,3,Severe
niggers,nigger,,,racial / ethnic slurs,,,3,Severe
niggerz,nigger,,,racial / ethnic slurs,,,3,Severe
niggir,nigger,,,racial / ethnic slurs,,,3,Severe
niggress,nigger,,,racial / ethnic slurs,,,3,Severe
nigguh,nigger,,,racial / ethnic slurs,,,2.8,Severe
nigguhs,nigger,,,racial / ethnic slurs,,,3,Severe
nigguhz,nigger,,,racial / ethnic slurs,,,3,Severe
niglet,nigger,,,racial / ethnic slurs,,,3,Severe
nignigs,nigger,,,racial / ethnic slurs,,,3,Severe
nignog,nigger,,,racial / ethnic slurs,,,2.8,Severe
nigra,nigger,,,racial / ethnic slurs,,,2.8,Severe
nigre,nigger,nigga,,racial / ethnic slurs,,,3,Severe
nigs,nigger,,,racial / ethnic slurs,,,2.8,Severe
niguh,nigger,,,racial / ethnic slurs,,,2.8,Severe
nikk3r,nigger,,,racial / ethnic slurs,,,3,Severe
nikkas,nigger,,,racial / ethnic slurs,,,3,Severe
nikker,nigger,,,racial / ethnic slurs,,,2.8,Severe
nip,nipple,,,sexual anatomy / sexual acts,,,2,Strong
nob jockey,knob,,,sexual anatomy / sexual acts,sexual orientation / gender,,2.2,Strong
nob jokeys,knob,,,sexual anatomy / sexual acts,sexual orientation / gender,,1.8,Strong
nobbyhead,knob,,,sexual anatomy / sexual acts,,,1.4,Mild
nobhead,knob,,,sexual anatomy / sexual acts,,,1.6,Strong
nobheads,knob,,,sexual anatomy / sexual acts,,,1.4,Mild
nobj0key,knob,,,sexual anatomy / sexual acts,sexual orientation / gender,,1.8,Strong
nobjockies,knob,,,sexual anatomy / sexual acts,sexual orientation / gender,,1.8,Strong
nobjocky,knob,,,sexual anatomy / sexual acts,sexual orientation / gender,,2.4,Strong
nobjokey,knob,,,sexual anatomy / sexual acts,sexual orientation / gender,,2,Strong
nobjokeys,knob,,,sexual orientation / gender,,,1.8,Strong
nobs,knob,,,sexual anatomy / sexual acts,,,1.2,Mild
nonce,nonce,,,other / general insult,,,1.4,Mild
nuckas,nigger,,,racial / ethnic slurs,,,2.6,Severe
nuggets,nigger,,,racial / ethnic slurs,bodily fluids / excrement,,1.2,Mild
nut butter,nut butter,,,bodily fluids / excrement,,,1.4,Mild
nutsack,nutsack,,,sexual anatomy / sexual acts,,,1.8,Strong
nutsacks,nutsack,,,sexual anatomy / sexual acts,,,1.6,Strong
nympho,nymph,,,sexual anatomy / sexual acts,sexual orientation / gender,,1,Mild
nymphomaniac,nymph,,,other / general insult,,,1.4,Mild
octopussy,pussy,,,sexual anatomy / sexual acts,,,1.2,Mild
oven dodger,oven dodger,,,racial / ethnic slurs,,,2,Strong
p3n1shead,penis,,,sexual anatomy / sexual acts,,,1.8,Strong
p3nisfcker,penis,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,,3,Severe
p3nisfcukers,fuck,penis,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe
p3nisfvcker,penis,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe
p3nisfvckers,penis,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe
pack my fudge,fudge packer,,,sexual anatomy / sexual acts,bodily fluids / excrement,,2,Strong
packerfudgehead,fudge packer,,,sexual anatomy / sexual acts,bodily fluids / excrement,,2.2,Strong
packing fudge,fudge packer,,,sexual anatomy / sexual acts,bodily fluids / excrement,,2.4,Strong
packing fudgehead,fudge packer,,,bodily fluids / excrement,sexual anatomy / sexual acts,sexual orientation / gender,1.8,Strong
packingfudge,fudge packer,,,sexual anatomy / sexual acts,bodily fluids / excrement,,2.4,Strong
packingfudgefucker,fudge packer,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,bodily fluids / excrement,2.8,Severe
packingfudgefucking,fudge packer,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,bodily fluids / excrement,2.4,Strong
packsomefudgefucker,fudge packer,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,bodily fluids / excrement,2.4,Strong
paki,paki,,,racial / ethnic slurs,,,2.6,Severe
palm jockey,palm jockey,,,sexual anatomy / sexual acts,,,1.2,Mild
pancake face,pancake face,,,racial / ethnic slurs,,,1.6,Strong
pecker,pecker,,,sexual anatomy / sexual acts,,,1.4,Mild
peckerhead,pecker,,,sexual anatomy / sexual acts,,,1.6,Strong
pedo,pedophile,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
pedobear,pedophile,,,sexual orientation / gender,,,2,Strong
pedobears,pedophile,,,other / general insult,animal references,,2.2,Strong
pedophl,pedophile,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
pedos,pedophile,,,other / general insult,,,2.4,Strong
pedoz,pedophile,,,sexual anatomy / sexual acts,other / general insult,,2,Strong
peen,penis,,,sexual anatomy / sexual acts,,,1,Mild
peener,penis,,,sexual anatomy / sexual acts,,,1,Mild
penisfcker,penis,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,,3,Severe
penisfuccer,penis,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe
penisfucker,fuck,penis,,sexual anatomy / sexual acts,,,3,Severe
penisfuckers,fuck,penis,,sexual anatomy / sexual acts,sexual orientation / gender,,3,Severe
penisfvcker,penis,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,,3,Severe
penisfvckers,penis,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe
penishead,penis,,,sexual anatomy / sexual acts,,,1.4,Mild
peter,peter puffer,,,sexual anatomy / sexual acts,,,1,Mild
peter puffer,peter puffer,,,sexual orientation / gender,sexual anatomy / sexual acts,,1.8,Strong
ph@ggots,faggot,,,sexual orientation / gender,,,2.8,Severe
phaggot,faggot,,,sexual orientation / gender,,,2.8,Severe
phaggots,faggot,,,sexual orientation / gender,,,3,Severe
phagot,faggot,,,sexual orientation / gender,,,3,Severe
phags,faggot,,,sexual orientation / gender,,,3,Severe
phuc,fuck,,,sexual anatomy / sexual acts,,,2,Strong
phucc,fuck,,,sexual anatomy / sexual acts,,,2,Strong
phuccer,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
phucchead,fuck,,,sexual anatomy / sexual acts,other / general insult,,2,Strong
phuccing,fuck,,,sexual anatomy / sexual acts,other / general insult,,1.8,Strong
phuck,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
phuck3r,fuck,,,sexual anatomy / sexual acts,other / general insult,,1.8,Strong
phucked,fuck,,,sexual anatomy / sexual acts,,,2,Strong
phucker,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
phuckin,fuck,,,sexual anatomy / sexual acts,,,2,Strong
phucking,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.4,Strong
phuckings,fuck,,,sexual anatomy / sexual acts,,,2.4,Strong
phucks,fuck,,,sexual anatomy / sexual acts,other / general insult,,2,Strong
phucup,fuck,,,sexual anatomy / sexual acts,,,1.8,Strong
phuk,fuck,,,sexual anatomy / sexual acts,other / general insult,,2,Strong
phuked,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
phukeds,fuck,,,sexual anatomy / sexual acts,,,2,Strong
phukhead,fuck,,,sexual anatomy / sexual acts,,,2.4,Strong
phuking,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
phukings,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
phukk,fuck,,,sexual anatomy / sexual acts,other / general insult,,1.8,Strong
phukked,fuck,,,sexual anatomy / sexual acts,other / general insult,,2,Strong
phukkeds,fuck,,,sexual anatomy / sexual acts,other / general insult,,2,Strong
phukker,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
Phukking,fuck,,,sexual anatomy / sexual acts,other / general insult,,1.8,Strong
phuks,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
phukshit,fuck,shit,,sexual anatomy / sexual acts,bodily fluids / excrement,,2.2,Strong
phuku,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
phukup,fuck,,,sexual anatomy / sexual acts,other / general insult,,1.8,Strong
phuq,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
phuqs,fuck,,,sexual anatomy / sexual acts,other / general insult,,1.8,Strong
phvckings,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
pig fucker,fuck,pig,,sexual anatomy / sexual acts,animal references,,2.8,Severe
pigfucker,fuck,pig,,sexual anatomy / sexual acts,animal references,,2.6,Severe
pigfuckers,fuck,pig,,sexual anatomy / sexual acts,animal references,,3,Severe
pigfucking,fuck,pig,,sexual anatomy / sexual acts,animal references,,2.6,Severe
pigfukker,fuck,pig,,sexual anatomy / sexual acts,animal references,,2.8,Severe
piggyfuck,fuck,pig,,sexual anatomy / sexual acts,animal references,,3,Severe
pigshit,shit,pig,,bodily fluids / excrement,animal references,,1.4,Mild
pillow biter,pillow biter,,,sexual anatomy / sexual acts,,,2.4,Strong
pillow-biter,pillow biter,,,sexual orientation / gender,,,1.6,Strong
piss face,piss,,,bodily fluids / excrement,,,1.4,Mild
piss off fuckhead,fuck,,,sexual anatomy / sexual acts,bodily fluids / excrement,,3,Severe
piss shit,piss,shit,,bodily fluids / excrement,,,1.4,Mild
pissoff,piss,,,bodily fluids / excrement,,,1.2,Mild
pissoffs,piss,,,bodily fluids / excrement,other / general insult,,1.4,Mild
pole licker,pole licker,,,sexual anatomy / sexual acts,,,2.2,Strong
pole smoker,pole smoker,,,sexual anatomy / sexual acts,,,2,Strong
pole sucker,pole sucker,,,sexual anatomy / sexual acts,,,1.8,Strong
polesmoker,polesmoker,,,sexual anatomy / sexual acts,sexual orientation / gender,,2.2,Strong
porch monkey,porch monkey,,,racial / ethnic slurs,,,3,Severe
prick,prick,,,sexual anatomy / sexual acts,,,1,Mild
prick-face,prick,,,sexual anatomy / sexual acts,,,1.2,Mild
prick-gobbler,prick,,,sexual anatomy / sexual acts,,,2.2,Strong
prick-head,prick,,,sexual anatomy / sexual acts,,,1.8,Strong
pricks,prick,,,sexual anatomy / sexual acts,,,1,Mild
pu$sy,pussy,,,sexual anatomy / sexual acts,,,1.6,Strong
pu55y,pussy,,,sexual anatomy / sexual acts,,,1.6,Strong
pull the pud,pull the pud,,,sexual anatomy / sexual acts,,,1.2,Mild
punani,punani,,,sexual anatomy / sexual acts,,,1.8,Strong
punk ass mofoes,motherfucker,ass,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe
punkasses,ass,,,other / general insult,,,1.2,Mild
puss,pussy,,,sexual anatomy / sexual acts,,,1.4,Mild
pusses,pussy,,,sexual anatomy / sexual acts,,,1.4,Mild
pussie,pussy,,,sexual anatomy / sexual acts,,,2,Strong
pussies,pussy,,,sexual anatomy / sexual acts,sexual orientation / gender,,1,Mild
pussless,pussy,,,sexual anatomy / sexual acts,,,2,Strong
pusslicker,pussy,,,sexual anatomy / sexual acts,,,2.2,Strong
pussy,pussy,,,sexual anatomy / sexual acts,,,1.4,Mild
pussy cat,pussy,,,sexual anatomy / sexual acts,,,1.4,Mild
pussy fucker,fuck,,,sexual anatomy / sexual acts,,,2.8,Severe
pussy lick,pussy,,,sexual anatomy / sexual acts,,,2.4,Strong
pussy licker,pussy,,,sexual anatomy / sexual acts,,,2.4,Strong
pussy licking,pussy,,,sexual anatomy / sexual acts,,,2.4,Strong
pussylickers,pussy,,,sexual anatomy / sexual acts,,,2.8,Severe
pussys,pussy,,,sexual anatomy / sexual acts,,,2,Strong
pussywhipped,pussy,,,sexual anatomy / sexual acts,,,1.8,Strong
puta,punta,,,sexual orientation / gender,,,1.8,Strong
puussy,pussy,,,sexual anatomy / sexual acts,,,1.4,Mild
puzzies,pussy,,,sexual anatomy / sexual acts,,,1.4,Mild
puzzy,pussy,,,sexual anatomy / sexual acts,,,1.2,Mild
queerasses,queer,ass,,sexual orientation / gender,,,3,Severe
queers,queer,,,sexual orientation / gender,,,1.8,Strong
r3t@rd,retard,,,mental disability,,,2.8,Severe
r3t@rded,retarded,,,mental disability,,,2.8,Severe
r3tard,retard,,,mental disability,,,2.6,Severe
raghead,raghead,,,racial / ethnic slurs,,,3,Severe
ragheads,raghead,,,racial / ethnic slurs,,,2.6,Severe
ragtard,retard,raghead,,racial / ethnic slurs,,,3,Severe
ramrod,ramrod,,,sexual anatomy / sexual acts,,,1,Mild
rat bastard,bastard,,,other / general insult,animal references,,1.6,Strong
