text,canonical_form_1,canonical_form_2,canonical_form_3,category_1,category_2,category_3,severity_rating,severity_description,,,,
f'er,,,,,fuck,,,sexual anatomy / sexual acts,,,1.6,Strong
f@ck,,,,,fuck,,,sexual anatomy / sexual acts,,,1.6,Strong
f@cker bunny,,,,,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
f@g,,,,,faggot,,,sexual orientation / gender,,,2.8,Severe
f@gg0t,,,,,faggot,,,sexual orientation / gender,,,3,Severe
f@gging,,,,,faggot,,,sexual orientation / gender,,,2.8,Severe
f@ggot,,,,,faggot,,,sexual orientation / gender,,,3,Severe
f@gs,,,,,faggot,,,sexual orientation / gender,,,3,Severe
f@gshit,,,,,shit,fag,,sexual orientation / gender,,,2.8,Severe
f@k,,,,,fuck,,,sexual anatomy / sexual acts,,,1.8,Strong
f0ck,,,,,fuck,,,sexual anatomy / sexual acts,,,2,Strong
f0cked,,,,,fuck,,,sexual anatomy / sexual acts,,,2,Strong
f0cker,,,,,fuck,,,sexual anatomy / sexual acts,,,2.4,Strong
f0ckers,,,,,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
face fuck,,,,,fuck,,,sexual anatomy / sexual acts,,,2.8,Severe
fack,,,,,fuck,,,sexual anatomy / sexual acts,,,1.4,Mild
fackuhs,,,,,fuck,,,sexual anatomy / sexual acts,,,2,Strong
fag,,,,,faggot,,,sexual orientation / gender,,,2.8,Severe
fag asses,,,,,faggot,ass,,sexual orientation / gender,,,2.8,Severe
fag bag,,,,,faggot,,,sexual orientation / gender,,,2.8,Severe
fag hag,,,,,faggot,hag,,sexual orientation / gender,,,2.6,Severe
fag queen,,,,,faggot,,,sexual orientation / gender,,,2.8,Severe
fag0t,,,,,faggot,,,sexual orientation / gender,,,3,Severe
faget,,,,,faggot,,,sexual orientation / gender,,,3,Severe
fagg0t,,,,,faggot,,,sexual orientation / gender,,,3,Severe
fagging,,,,,faggot,,,sexual orientation / gender,,,3,Severe
faggo,,,,,faggot,,,sexual orientation / gender,,,2.8,Severe
faggot,,,,,faggot,,,sexual orientation / gender,,,2.8,Severe
faggot mofoes,,,,,faggot,motherfucker,,sexual anatomy / sexual acts,sexual orientation / gender,,3,Severe
faggot mothafuckers,,,,,motherfucker,faggot,,sexual anatomy / sexual acts,sexual orientation / gender,,3,Severe
faggot nob jokeys,,,,,faggot,knob,,sexual anatomy / sexual acts,sexual orientation / gender,,3,Severe
faggot nobjockies,,,,,faggot,knob,,sexual orientation / gender,sexual anatomy / sexual acts,,3,Severe
faggot son-of-a-bitch,,,,,faggot,bitch,,sexual orientation / gender,other / general insult,,3,Severe
faggoting,,,,,faggot,,,sexual orientation / gender,,,3,Severe
faggots,,,,,faggot,,,sexual orientation / gender,,,3,Severe
faggs,,,,,faggot,,,sexual orientation / gender,,,3,Severe
faggy,,,,,faggot,,,sexual orientation / gender,,,3,Severe
fagot,,,,,faggot,,,sexual orientation / gender,,,2.8,Severe
fags,,,,,faggot,,,sexual orientation / gender,,,3,Severe
fagshit,,,,,faggot,shit,,bodily fluids / excrement,sexual orientation / gender,,3,Severe
fart-fucker,,,,,fuck,,,sexual anatomy / sexual acts,bodily fluids / excrement,,2.2,Strong
fatass,,,,,ass,,,sexual anatomy / sexual acts,physical attributes,,1.2,Mild
fatasses,,,,,ass,,,sexual anatomy / sexual acts,physical attributes,,1.2,Mild
fccuker,,,,,fuck,,,sexual anatomy / sexual acts,,,2,Strong
fck,,,,,fuck,,,sexual anatomy / sexual acts,,,2.4,Strong
fck you,,,,,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
fcka,,,,,fuck,,,sexual anatomy / sexual acts,,,1.8,Strong
fckahz,,,,,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
fcked,,,,,fuck,,,sexual anatomy / sexual acts,,,2,Strong
fckedup,,,,,fuck,,,sexual anatomy / sexual acts,other / general insult,,2,Strong
fcker,,,,,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
fckin,,,,,fuck,,,sexual anatomy / sexual acts,,,2,Strong
fcking,,,,,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
Fckk,,,,,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
fckked,,,,,fuck,,,sexual anatomy / sexual acts,other / general insult,,2,Strong
fckking,,,,,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
fcks,,,,,fuck,,,sexual anatomy / sexual acts,,,2,Strong
fcktard,,,,,fuck,retard,,sexual anatomy / sexual acts,mental disability,,2.8,Severe
fckyeah,,,,,fuck,,,other / general insult,,,1.6,Strong
fcuk,,,,,fuck,,,sexual anatomy / sexual acts,,,2,Strong
fcuked,,,,,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
fcuker,,,,,fuck,,,sexual anatomy / sexual acts,,,2.4,Strong
fcukers,,,,,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
fcuking,,,,,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
fcukker,,,,,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
fcuks,,,,,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
fcvking,,,,,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
feck,,,,,fuck,,,sexual anatomy / sexual acts,,,1.6,Strong
feck arse,,,,,arse,,,sexual anatomy / sexual acts,sexual orientation / gender,,2.2,Strong
fecker,,,,,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
feg,,,,,faggot,,,sexual orientation / gender,,,2.4,Strong
fellatio aficionado,,,,,fellatio,,,sexual anatomy / sexual acts,,,2,Strong
fellator,,,,,fellatio,,,sexual anatomy / sexual acts,,,1.6,Strong
fick,,,,,fuck,,,sexual anatomy / sexual acts,,,1.6,Strong
finger,,,,,finger,,,sexual anatomy / sexual acts,,,1,Mild
finger fuck,,,,,fuck,,,sexual anatomy / sexual acts,,,2.6,Severe
fingerbanged,,,,,finger,,,sexual anatomy / sexual acts,,,1.6,Strong
fingerpop,,,,,finger,,,sexual anatomy / sexual acts,,,1.4,Mild
fk bunny,,,,,fuck,,,sexual anatomy / sexual acts,,,2,Strong
fkbny,,,,,fuck,,,sexual anatomy / sexual acts,,,1.6,Strong
fked,,,,,fuck,,,sexual anatomy / sexual acts,other / general insult,,2,Strong
fker,,,,,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.4,Strong
fking,,,,,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
fkings,,,,,fuck,,,sexual anatomy / sexual acts,,,1.8,Strong
fkker,,,,,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
flamer,,,,,flamer,,,sexual orientation / gender,,,2,Strong
flamers,,,,,flamer,,,sexual orientation / gender,,,2.8,Severe
focker,,,,,fuck,,,sexual anatomy / sexual acts,other / general insult,,2,Strong
fook,,,,,fuck,,,sexual anatomy / sexual acts,other / general insult,,1.6,Strong
fooker,,,,,fuck,,,sexual anatomy / sexual acts,other / general insult,,1.8,Strong
fookuh,,,,,fuck,,,sexual anatomy / sexual acts,,,1.8,Strong
forked,,,,,fuck,,,sexual anatomy / sexual acts,,,1,Mild
fothermuckers,,,,,motherfucker,,,sexual anatomy / sexual acts,,,1.8,Strong
fuc,,,,,fuck,,,sexual anatomy / sexual acts,,,1.6,Strong
fucc,,,,,fuck,,,sexual anatomy / sexual acts,other / general insult,,2,Strong
fucca,,,,,fuck,,,sexual anatomy / sexual acts,other / general insult,,2,Strong
fuccers,,,,,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
fuccing,,,,,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.6,Severe
fuccs,,,,,fuck,,,sexual anatomy / sexual acts,other / general insult,,2,Strong
Fuck,,,,,fuck,,,sexual anatomy / sexual acts,,,2,Strong
fuck arse,,,,,fuck,arse,,sexual anatomy / sexual acts,sexual orientation / gender,,2.4,Strong
fuck face,,,,,fuck,,,sexual anatomy / sexual acts,,,2.4,Strong
fuck faces,,,,,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
fuck goblin,,,,,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
fuck head,,,,,fuck,,,sexual anatomy / sexual acts,,,2.4,Strong
fuck off,,,,,fuck,,,sexual anatomy / sexual acts,other / general insult,,2,Strong
fuck up,,,,,fuck,,,sexual anatomy / sexual acts,other / general insult,,1.8,Strong
fuck y0u,,,,,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.4,Strong
fuck you,,,,,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.4,Strong
fuck your,,,,,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.4,Strong
fuck your mother,,,,,fuck,motherfucker,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe
fucka,,,,,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
fuckahs,,,,,fuck,,,sexual anatomy / sexual acts,other / general insult,,2,Strong
fuckass,,,,,fuck,ass,,sexual anatomy / sexual acts,,,2.4,Strong
fuckasses,,,,,fuck,ass,,sexual anatomy / sexual acts,,,2.4,Strong
fuckaz,,,,,fuck,ass,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
fuckbag,,,,,fuck,,,sexual anatomy / sexual acts,,,2.6,Severe
fuckboy,,,,,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.6,Severe
fucked,,,,,fuck,,,sexual anatomy / sexual acts,other / general insult,,1.8,Strong
fucked up,,,,,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
fuckem,,,,,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
fucker,,,,,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
fucker off,,,,,fuck,,,sexual anatomy / sexual acts,,,2,Strong
fuckers,,,,,fuck,,,sexual anatomy / sexual acts,,,2.4,Strong
fuckface,,,,,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
fuckfaces,,,,,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
fuckhead,,,,,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
fuckheaded,,,,,fuck,,,sexual anatomy / sexual acts,mental disability,,2.6,Severe
fuckheads,,,,,fuck,,,sexual anatomy / sexual acts,,,2.6,Severe
fuckin,,,,,fuck,,,sexual anatomy / sexual acts,other / general insult,,2,Strong
fucking,,,,,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
fucking A,,,,,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.4,Strong
fucking asshole,,,,,fuck,ass,,sexual anatomy / sexual acts,other / general insult,,2.8,Severe
fucking bastard,,,,,fuck,bastard,,sexual anatomy / sexual acts,other / general insult,,2.4,Strong
fucking hell,,,,,fuck,hell,,sexual anatomy / sexual acts,religious offense,,2,Strong
fucking me,,,,,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
fucking retard,,,,,fuck,retard,,sexual anatomy / sexual acts,mental disability,,3,Severe
fucking shit,,,,,fuck,shit,,sexual anatomy / sexual acts,bodily fluids / excrement,,1.8,Strong
fuckk,,,,,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
fuckless,,,,,fuck,,,sexual anatomy / sexual acts,,,2,Strong
fuckmachine,,,,,fuck,,,sexual anatomy / sexual acts,other / general insult,,2,Strong
fucknuckle,,,,,fuck,,,sexual anatomy / sexual acts,,,2.4,Strong
fucks,,,,,fuck,,,sexual anatomy / sexual acts,other / general insult,,2,Strong
fuckshit,,,,,fuck,shit,,sexual anatomy / sexual acts,bodily fluids / excrement,,2.4,Strong
fuckshitface,,,,,fuck,shit,,sexual anatomy / sexual acts,bodily fluids / excrement,,2.4,Strong
fuckshithead,,,,,fuck,shit,,sexual anatomy / sexual acts,bodily fluids / excrement,,2.8,Severe
fuckstar,,,,,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
fuckster,,,,,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
fuckstick,,,,,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
fucktard,,,,,fuck,retard,,sexual anatomy / sexual acts,mental disability,,2.8,Severe
fucktards,,,,,fuck,retard,,sexual anatomy / sexual acts,mental disability,,2.6,Severe
fuckup,,,,,fuck,,,sexual anatomy / sexual acts,other / general insult,,2,Strong
fuckwad,,,,,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
fuckwhore,,,,,fuck,whore,,sexual anatomy / sexual acts,,,2.6,Severe
fucs,,,,,fuck,,,sexual anatomy / sexual acts,,,2.4,Strong
fucx,,,,,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
fudgefucker,,,,,fudge packer,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,bodily fluids / excrement,3,Severe
fudgepacker,,,,,fudge packer,,,sexual orientation / gender,,,2.4,Strong
fudgepackers,,,,,fudge packer,,,sexual anatomy / sexual acts,bodily fluids / excrement,,2.2,Strong
fudgepackershitter,,,,,fudge packer,shit,,sexual anatomy / sexual acts,bodily fluids / excrement,,3,Severe
fudgepacking fucker,,,,,fudge packer,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,bodily fluids / excrement,3,Severe
fugged,,,,,fuck,,,sexual anatomy / sexual acts,,,1.8,Strong
fugger,,,,,fuck,,,sexual anatomy / sexual acts,other / general insult,,2,Strong
fuggerz,,,,,fuck,,,sexual anatomy / sexual acts,,,2.6,Severe
fuggings,,,,,fuck,,,sexual anatomy / sexual acts,,,2,Strong
fugly,,,,,fuck,,,physical attributes,,,1.4,Mild
fuk,,,,,fuck,,,sexual anatomy / sexual acts,,,2,Strong
fuk1n,,,,,fuck,,,sexual anatomy / sexual acts,,,2,Strong
fuk1ng,,,,,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
fukcs,,,,,fuck,,,sexual anatomy / sexual acts,,,2,Strong
fuker,,,,,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
fukheads,,,,,fuck,,,sexual anatomy / sexual acts,,,2,Strong
fukin,,,,,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
fuking,,,,,fuck,,,sexual anatomy / sexual acts,,,2,Strong
fukk,,,,,fuck,,,sexual anatomy / sexual acts,,,2,Strong
fukka,,,,,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
fukked,,,,,fuck,,,sexual anatomy / sexual acts,,,2,Strong
fukker,,,,,fuck,,,sexual anatomy / sexual acts,,,2,Strong
fukkers,,,,,fuck,,,sexual anatomy / sexual acts,,,2,Strong
fukking,,,,,fuck,,,sexual anatomy / sexual acts,,,2,Strong
fukkings,,,,,fuck,,,sexual anatomy / sexual acts,,,2,Strong
fukkuh,,,,,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
fuks,,,,,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
fuku,,,,,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.6,Severe
fukwhore,,,,,fuck,whore,,sexual anatomy / sexual acts,,,2.8,Severe
fukwit,,,,,fuck,,,sexual anatomy / sexual acts,mental disability,,2.2,Strong
full of shit,,,,,shit,,,bodily fluids / excrement,,,1,Mild
funbags,,,,,funbags,,,sexual anatomy / sexual acts,,,1,Mild
fuq,,,,,fuck,,,sexual anatomy / sexual acts,,,1.8,Strong
futhamucka,,,,,motherfucker,,,sexual anatomy / sexual acts,,,2.6,Severe
fux,,,,,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
fux0r,,,,,fuck,,,sexual anatomy / sexual acts,,,2,Strong
fvck,,,,,fuck,,,sexual anatomy / sexual acts,other / general insult,,1.8,Strong
fvck you,,,,,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
fvcka,,,,,fuck,,,sexual anatomy / sexual acts,,,2,Strong
fvckbunny,,,,,fuck,,,sexual anatomy / sexual acts,animal references,,2.2,Strong
fvcker,,,,,fuck,,,sexual anatomy / sexual acts,,,2.4,Strong
fvckers,,,,,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
fvckin,,,,,fuck,,,sexual anatomy / sexual acts,,,1.8,Strong
fvcking,,,,,fuck,,,sexual anatomy / sexual acts,,,2,Strong
fvckker bunny,,,,,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
fvckwhi,,,,,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
fxck,,,,,fuck,,,sexual anatomy / sexual acts,,,1.6,Strong
fxcked,,,,,fuck,,,sexual anatomy / sexual acts,other / general insult,,2,Strong
fxcker,,,,,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
fxcking,,,,,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
g@y b1tch,,,,,bitch,gay,,sexual orientation / gender,,,2.6,Severe
g@ylord,,,,,gay,,,sexual orientation / gender,,,1.8,Strong
g@yshit,,,,,shit,gay,,sexual orientation / gender,,,2.6,Severe
g0ddamn,,,,,damn,,,religious offense,,,1.2,Mild
g0ddamned,,,,,damn,,,religious offense,,,1.6,Strong
g0ddamnit,,,,,damn,,,religious offense,,,1,Mild
gash-stabber,,,,,gash-stabber,,,sexual anatomy / sexual acts,,,2,Strong
gay ass,,,,,gay,ass,,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe
gay bitch,,,,,gay,bitch,,sexual orientation / gender,,,2.6,Severe
gay fuck,,,,,fuck,gay,,sexual orientation / gender,other / general insult,,2.6,Severe
gay fucker,,,,,fuck,gay,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe
gay shit,,,,,gay,shit,,bodily fluids / excrement,sexual orientation / gender,,1.8,Strong
gay wad,,,,,gay,,,sexual orientation / gender,,,2,Strong
gayest,,,,,gay,,,sexual orientation / gender,,,1,Mild
gaylord,,,,,gay,,,sexual orientation / gender,,,1.6,Strong
gaylords,,,,,gay,,,sexual orientation / gender,,,2.2,Strong
gayness,,,,,gay,,,sexual orientation / gender,,,1.4,Mild
gaysian,,,,,gay,,,sexual orientation / gender,,,2.6,Severe
gaytard,,,,,gay,retard,,sexual orientation / gender,mental disability,,2.8,Severe
geebag,,,,,garbage bag,,,sexual orientation / gender,,,1.8,Strong
get fucked,,,,,fuck,,,sexual anatomy / sexual acts,,,2.4,Strong
gin jockey,,,,,gin jockey,,,sexual anatomy / sexual acts,,,2,Strong
girlieboy,,,,,girlyboy,,,sexual orientation / gender,,,1.4,Mild
girly bits,,,,,girly bits,,,sexual anatomy / sexual acts,,,1,Mild
girlyboy,,,,,girlyboy,,,sexual orientation / gender,,,1.4,Mild
go fuck yourself,,,,,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.6,Severe
go to hell,,,,,hell,,,other / general insult,religious offense,,1,Mild
gobshite,,,,,shit,,,bodily fluids / excrement,,,1.8,Strong
god dammit,,,,,damn,,,religious offense,,,1.6,Strong
god damn,,,,,damn,,,religious offense,,,1.4,Mild
god damn it,,,,,damn,,,religious offense,,,1.8,Strong
god damned,,,,,damn,,,religious offense,,,1.2,Mild
god damnit,,,,,damn,,,religious offense,,,2.2,Strong
god-dam,,,,,damn,,,religious offense,,,1.2,Mild
god-damned,,,,,damn,,,religious offense,,,1.4,Mild
godamnit,,,,,damn,,,religious offense,,,2,Strong
godd@amn,,,,,damn,,,religious offense,,,1.4,Mild
